round_id,round_start,round_end,captured_at,team,jersey,player,position
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Rabbitohs,12,Tallis Duncan,second row
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Rabbitohs,13,Cameron Murray,lock
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Rabbitohs,14,Jye Gray,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Rabbitohs,15,Lachlan Hubner,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Rabbitohs,16,Sean Keppie,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Rabbitohs,17,Jamie Humphreys,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Roosters,1,James Tedesco,fullback
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Roosters,2,Daniel Tupou,wing
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Roosters,3,Billy Smith,centre
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Roosters,4,Robert Toia,centre
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Roosters,5,Mark Nawaqanitawase,wing
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Roosters,6,Hugo Savala,five eighth
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Roosters,7,Daly Cherry-Evans,halfback
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Roosters,8,Naufahu Whyte,prop
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Roosters,9,Reece Robson,hooker
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Roosters,10,Lindsay Collins,prop
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Roosters,11,Salesi Foketi,second row
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Roosters,12,Siua Wong,second row
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Roosters,13,Victor Radley,lock
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Roosters,14,Connor Watson,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Roosters,15,Spencer Leniu,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Roosters,16,Nat Butcher,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Roosters,17,Angus Crichton,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Sharks,1,William Kennedy,fullback
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Sharks,2,Sione Katoa,wing
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Sharks,3,Riley Jones,centre
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Sharks,4,KL Iro,centre
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Sharks,5,Ronaldo Mulitalo,wing
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Sharks,6,Braydon Trindall,five eighth
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Sharks,7,Nicho Hynes,halfback
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Sharks,8,Addin Fonua-Blake,prop
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Sharks,9,Blayke Brailey,hooker
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Sharks,10,Jesse Colquhoun,prop
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Sharks,11,Briton Nikora,second row
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Sharks,12,Teig Wilton,second row
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Sharks,13,Cameron McInnes,lock
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Sharks,14,Siosifa Talakai,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Sharks,15,Billy Burns,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Sharks,16,Oregon Kaufusi,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Sharks,17,Thomas Hazelton,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Warriors,1,Taine Tuaupiki,fullback
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Warriors,2,Charnze Nicoll-Klokstad,wing
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Warriors,3,Ali Leiataua,centre
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Warriors,4,Leka Halasima,centre
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Warriors,5,Alofiana Khan-Pereira,wing
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Warriors,6,Chanel Harris-Tavita,five eighth
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Warriors,7,Te Maire Martin,halfback
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Warriors,8,James Fisher-Harris,prop
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Warriors,9,Wayde Egan,hooker
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Warriors,10,Mitchell Barnett,prop
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Warriors,11,Kurt Capewell,second row
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Warriors,12,Jacob Laban,second row
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Warriors,13,Erin Clark,lock
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Warriors,14,Sam Healey,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Warriors,15,Tanner Stowers-Smith,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Warriors,16,Demitric Vaimauga,bench
2026-09-11_to_2026-09-13,2026-09-11,2026-09-13,2026-09-11T09:05:26+10:00,Warriors,17,Jackson Ford,bench
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Cowboys,1,Scott Drinkwater,fullback
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Cowboys,2,Braidon Burns,wing
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Cowboys,3,Jaxon Purdue,centre
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Cowboys,4,Tom Chester,centre
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Cowboys,5,Zac Laybutt,wing
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Cowboys,6,Jake Clifford,five eighth
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Cowboys,7,Tom Dearden,halfback
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Cowboys,8,Griffin Neame,prop
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Cowboys,9,Reed Mahoney,hooker
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Cowboys,10,Jason Taumalolo,prop
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Cowboys,11,Heilum Luki,second row
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Cowboys,12,Jeremiah Nanai,second row
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Cowboys,13,Reuben Cotter,lock
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Cowboys,14,Soni Luke,bench
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Cowboys,15,John Bateman,bench
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Cowboys,16,Thomas Mikaele,bench
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Cowboys,17,Coen Hess,bench
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Dolphins,1,Hamiso Tabuai-Fidow,fullback
2026-09-13_to_2026-09-19,2026-09-13,2026-09-19,2026-09-13T07:19:14+10:00,Dolphins,2,Jamayne Isaako,wing
