fox_rank,fox_name,resolved_name,team_code,G,ST,MIN,T,TA,GLS,GK_pct,FG,PTS,R,RM,LB,TB,OFF,K,KM,TCK,MT,ERR,PEN,SB,SO
,C. McInnes,,CRO,17,15,730,1,0,0,,0,4,162,1165,2,20,2,0,0,499,19,6,6,0,0
,R. Mulitalo,,CRO,15,15,1187,12,0,0,,0,48,237,2017,15,65,22,2,42,68,36,11,6,1,0
,J. Ramien,,CRO,14,14,1084,6,0,0,,0,24,191,1662,9,36,16,1,30,174,30,11,9,0,0
,T. Rudolf,,CRO,14,11,537,0,0,0,,0,0,136,1116,1,21,6,0,0,287,33,7,2,0,0
,H. Puru,,CRO,12,5,511,1,0,0,,0,4,52,431,1,6,1,2,2,277,36,5,3,0,0
,S. Stonestreet,,CRO,12,12,960,4,1,0,,0,16,192,1569,3,21,5,4,64,77,29,11,2,0,0
,M. Hiroti,,CRO,11,11,826,2,0,1,100,0,10,151,1319,5,25,0,0,0,154,38,11,1,0,0
,N. Puru,,CRO,6,6,480,1,1,4,100,0,12,26,226,1,6,2,49,1563,175,22,6,5,0,0
,J. Berrell,,CRO,4,0,108,0,0,0,,0,0,5,48,0,2,0,1,3,73,6,3,2,0,0
,B. Uele,,CRO,4,0,78,0,0,0,,0,0,23,213,0,2,1,0,0,37,8,2,0,0,0
,T. Hau Tapuha,,CRO,3,0,46,0,0,0,,0,0,17,148,0,2,1,0,0,19,0,0,0,0,0
,M. Gabrael,,CRO,1,1,70,0,0,0,,0,0,12,100,0,2,1,0,0,8,0,0,1,1,0
,R. Jones,,CRO,1,1,80,1,0,0,,0,4,16,101,1,3,0,0,0,16,8,2,0,0,0
,R. Pollard,,CRO,1,1,80,0,1,0,,0,0,8,52,0,1,1,7,214,25,9,2,1,0,0
,H. Hassett,,CRO,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,C. Vea'ila,,CRO,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,S. Drinkwater,,NQL,24,24,1911,10,25,29,93,2,100,307,2664,9,99,27,111,2611,124,48,40,8,0,0
,C. Hess,,NQL,24,9,946,1,0,0,,0,4,184,1721,1,25,11,0,0,531,28,4,3,0,0
,H. Luki,,NQL,24,24,1908,11,2,0,,0,44,259,2313,14,60,1,0,0,900,56,14,17,1,0
,J. Purdue,,NQL,24,24,1914,9,9,0,,0,36,278,2466,17,99,14,16,247,391,70,24,10,1,0
,T. Chester,,NQL,23,23,1839,11,2,0,,0,44,367,3457,19,94,13,3,29,337,84,22,17,1,0
,J. Clifford,,NQL,23,23,1844,9,14,53,67,1,144,128,1165,11,54,20,199,6617,348,72,25,13,0,0
,J. Taumalolo,,NQL,23,22,1066,2,4,0,,0,8,304,3166,4,58,20,0,0,426,47,7,3,1,0
,G. Neame,,NQL,22,8,789,0,0,0,,0,0,180,1566,0,12,2,0,0,446,73,5,7,0,0
,R. Cotter,,NQL,21,21,1358,3,0,0,,0,12,170,1424,2,19,3,0,0,786,84,6,7,3,0
,R. Mahoney,,NQL,21,21,1259,4,3,0,,0,16,63,579,6,19,2,31,915,690,61,17,7,0,0
,T. Mikaele,,NQL,21,9,898,0,0,0,,0,0,264,2499,0,44,26,0,0,397,21,13,6,0,0
,B. Burns,,NQL,20,20,1558,15,2,0,,0,60,367,3250,17,103,27,0,0,103,45,25,8,1,0
,Z. Laybutt,,NQL,19,18,1422,2,1,0,,0,8,206,1628,6,36,4,3,62,182,37,15,2,0,0
,S. Luke,,NQL,18,3,632,2,1,0,,0,8,49,424,2,14,3,9,67,324,36,8,3,0,0
,M. Taulagi,,NQL,17,17,1340,11,1,0,,0,44,269,2303,11,48,13,2,28,102,44,11,3,0,0
,M. Lodge,,NQL,15,3,378,0,0,0,,0,0,111,898,0,22,14,1,12,182,15,2,3,1,0
,S. McIntyre,,NQL,15,10,866,1,1,0,,0,4,96,705,1,11,5,0,0,390,56,4,5,0,0
,T. Dearden,,NQL,13,13,1041,2,15,0,,0,8,70,679,6,40,2,74,2040,275,29,6,3,0,0
